State,Helpline
Central,+91-11-23978046
Maharashtra,020-26127394
Tamil Nadu,044-29510500
Andhra Pradesh,0866-2410978
Karnataka,104
Delhi,011-22307145
Uttar Pradesh,18001805145
West Bengal,"1800313444222, 03323412600"
Bihar,104
Telangana,104
Gujarat,104
Assam,6913347770
Rajasthan,0141-2225624
Odisha,9439994859
Haryana,8558893911
Madhya Pradesh,104
Kerala,0471-2552056
Punjab,104
Jammu and Kashmir,"01912520982, 0194-2440283"
Jharkhand,104
Chhattisgarh,104
Uttarakhand,104
Goa,104
Tripura,0381-2315879
Puducherry,104
Manipur,3852411668
Himachal Pradesh,104
Nagaland,7005539653
Arunachal Pradesh,9436055743
Andaman and Nicobar Islands,03192-232102
Ladakh,01982256462
Chandigarh,9779558282
Dadra and Nagar Haveli and Daman and Diu,104
Meghalaya,108
Sikkim,104
Mizoram,102
Lakshadweep,104
